[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
15.5,1.795411282,1.055136,93.9763,1.795411282,1.055136,93.9763,-17.30496872,4.304936,134.55,22.38513128,-1.370464,133.586,-14.84366872,1.737436,83.6948,19.65943128,1.251136,84.1025,-15.71576872,0.190936,46.0524,15.37493128,9.927936,46.5216,-14.26786872,-27.702164,21.5753,11.63573128,6.584536,9.27044,-14.79976872,-28.803464,9.90936,14.28673128,15.686536,3.854
16,1.839931282,1.057936,94.0352,1.839931282,1.057936,94.0352,-17.25586872,4.221236,134.618,22.46213128,-1.294264,133.67,-14.82676872,1.789036,83.721,19.73003128,1.165936,84.1649,-15.71296872,0.769136,46.0945,15.38933128,9.538636,46.5182,-14.23376872,-27.244264,21.7666,11.62273128,6.046536,9.27249,-14.74286872,-28.358864,10.1137,14.29353128,15.145536,3.85306
16.5,1.881351282,1.059336,94.0949,1.881351282,1.059336,94.0949,-17.21076872,4.137836,134.685,22.53653128,-1.220164,133.757,-14.81306872,1.840436,83.7497,19.79123128,1.072836,84.2263,-15.70616872,1.341636,46.1495,15.40133128,9.141636,46.5183,-14.19796872,-26.760064,21.9268,11.61593128,5.505536,9.27979,-14.68076872,-27.850664,10.2833,14.30233128,14.603436,3.8574
17,1.920651282,1.058236,94.1553,1.920651282,1.058236,94.1553,-17.16736872,4.054936,134.753,22.60813128,-1.148764,133.848,-14.79796872,1.887336,83.7816,19.84363128,0.971636,84.2876,-15.69796872,1.907036,46.2166,15.41353128,8.733236,46.5207,-14.15866872,-26.248264,22.0473,11.60543128,4.961836,9.28445,-14.61826872,-27.280664,10.4104,14.31043128,14.058036,3.86294
17.5,1.955811282,1.055336,94.2156,1.955811282,1.055336,94.2156,-17.12736872,3.972236,134.821,22.67713128,-1.080764,133.941,-14.78566872,1.931136,83.8154,19.87943128,0.865336,84.3451,-15.68526872,2.466036,46.2951,15.42273128,8.317236,46.5258,-14.11726872,-25.711464,22.1353,11.60143128,4.415436,9.29348,-14.55356872,-26.647764,10.5023,14.32123128,13.512336,3.87241
18,1.988821282,1.050836,94.2758,1.988821282,1.050836,94.2758,-17.09036872,3.890536,134.889,22.74403128,-1.015364,134.037,-14.77176872,1.972436,83.8515,19.90653128,0.753836,84.3997,-15.67026872,3.018836,46.3807,15.43003128,7.895036,46.5325,-14.07466872,-25.156664,22.1957,11.60063128,3.867436,9.30396,-14.48966872,-25.972664,10.5657,14.33293128,12.966436,3.88458
18.5,2.019911282,1.043836,94.3352,2.019911282,1.043836,94.3352,-17.05486872,3.807936,134.956,22.80813128,-0.953164,134.133,-14.75646872,2.010336,83.8897,19.92633128,0.636836,84.4521,-15.65486872,3.562436,46.4748,15.43823128,7.463236,46.5408,-14.02996872,-24.579364,22.2189,11.59723128,3.319336,9.31171,-14.42906872,-25.247064,10.5933,14.34373128,12.419136,3.89558
19,2.046701282,1.033936,94.3934,2.046701282,1.033936,94.3934,-17.02396872,3.725536,135.024,22.86863128,-0.895764,134.231,-14.74236872,2.042236,83.9303,19.92993128,0.514636,84.4983,-15.63386872,4.094636,46.5783,15.44113128,7.022836,46.5503,-13.98276872,-23.973664,22.1979,11.60323128,2.767236,9.32441,-14.37266872,-24.453364,10.5764,14.35613128,11.871736,3.90881
19.5,2.072371282,1.022536,94.4503,2.072371282,1.022536,94.4503,-16.99386872,3.643136,135.091,22.92703128,-0.840964,134.328,-14.72556872,2.072536,83.9727,19.92893128,0.389336,84.541,-15.61276872,4.620636,46.6841,15.44333128,6.578136,46.5603,-13.93556872,-23.357764,22.1583,11.60783128,2.216336,9.33508,-14.32126872,-23.636864,10.5454,14.36763128,11.324836,3.92121
20,2.096141282,1.008136,94.5051,2.096141282,1.008136,94.5051,-16.96546872,3.558936,135.157,22.98193128,-0.790164,134.424,-14.70926872,2.099036,84.0161,19.92333128,0.259636,84.5792,-15.58986872,5.132636,46.7952,15.44533128,6.126336,46.5711,-13.88766872,-22.720564,22.0807,11.61233128,1.666336,9.34446,-14.27626872,-22.773364,10.4809,14.37913128,10.778336,3.93175
20.5,2.117471282,0.990036,94.5574,2.117471282,0.990036,94.5574,-16.93886872,3.473536,135.224,23.03303128,-0.744364,134.517,-14.69246872,2.118536,84.0612,19.90923128,0.125336,84.6115,-15.56246872,5.630336,46.9103,15.44293128,5.666936,46.5817,-13.83736872,-22.059964,21.9618,11.62273128,1.114536,9.35598,-14.24306872,-21.856164,10.3822,14.38933128,10.231936,3.9394
21,2.137491282,0.970636,94.6078,2.137491282,0.970636,94.6078,-16.91226872,3.387136,135.289,23.08123128,-0.701064,134.609,-14.67616872,2.137736,84.1072,19.89313128,-0.010964,84.6401,-15.53556872,6.119636,47.0255,15.43983128,5.205936,46.5924,-13.78816872,-21.391164,21.8291,11.63003128,0.565036,9.36556,-14.21566872,-20.923664,10.2779,14.39803128,9.686536,3.94539
