[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
17.5,1.192106238,-0.029461,104.673,1.192106238,-0.029461,104.673,-19.76633376,-0.752261,150.13,23.68986624,-0.269361,148.392,-17.63503376,-1.273661,93.1352,19.40436624,0.985739,92.6656,-15.40233376,4.588039,53.0858,16.26796624,9.190539,53.2112,-11.16250376,-27.573161,24.7255,10.68336624,7.088939,8.99539,-13.50453376,-27.482561,12.3169,13.66876624,18.041439,3.52034
18,1.229666238,-0.041161,104.745,1.229666238,-0.041161,104.745,-19.73583376,-0.842461,150.182,23.72286624,-0.270561,148.466,-17.56223376,-1.292661,93.2162,19.45506624,0.937539,92.7293,-15.40553376,5.190839,53.2546,16.30116624,8.798139,53.2094,-11.16322376,-26.915361,24.9283,10.69476624,6.503639,9.00009,-13.47063376,-26.720461,12.5295,13.67326624,17.454639,3.50943
18.5,1.265976238,-0.053961,104.82,1.265976238,-0.053961,104.82,-19.70583376,-0.931861,150.232,23.75246624,-0.274261,148.545,-17.49153376,-1.315161,93.3037,19.49946624,0.885739,92.7944,-15.40073376,5.781639,53.4435,16.33726624,8.405139,53.2123,-11.16159376,-26.235761,25.0793,10.70896624,5.917839,9.006,-13.43783376,-25.896661,12.6932,13.67916624,16.869239,3.50365
19,1.301406238,-0.067361,104.894,1.301406238,-0.067361,104.894,-19.67673376,-1.020961,150.28,23.77976624,-0.280361,148.626,-17.42053376,-1.338961,93.3925,19.53996624,0.833439,92.86,-15.39213376,6.367239,53.64,16.37476624,8.012939,53.2164,-11.15780376,-25.547261,25.2084,10.72456624,5.331339,9.01297,-13.40673376,-25.047161,12.8369,13.68466624,16.283739,3.49971
19.5,1.335316238,-0.081261,104.969,1.335316238,-0.081261,104.969,-19.65023376,-1.108061,150.326,23.80246624,-0.289361,148.71,-17.34683376,-1.361261,93.4862,19.57356624,0.777939,92.9258,-15.37703376,6.939139,53.8499,16.41446624,7.622139,53.2235,-11.15045376,-24.840961,25.2934,10.74006624,4.743739,9.02085,-13.37663376,-24.152961,12.9383,13.69086624,15.696039,3.49999
20,1.366166238,-0.095361,105.045,1.366166238,-0.095361,105.045,-19.62583376,-1.192361,150.373,23.82176624,-0.299761,148.8,-17.28043376,-1.382461,93.5835,19.59986624,0.716739,92.9917,-15.35693376,7.497539,54.0727,16.45596624,7.232039,53.2346,-11.13901376,-24.112861,25.3265,10.75526624,4.154839,9.02887,-13.35033376,-23.211661,12.9913,13.69896624,15.107139,3.5058
20.5,1.395096238,-0.109561,105.12,1.395096238,-0.109561,105.12,-19.60303376,-1.273761,150.419,23.83926624,-0.312661,148.893,-17.21883376,-1.402661,93.6801,19.62136624,0.652539,93.0571,-15.33343376,8.046639,54.301,16.49916624,6.843339,53.2468,-11.12465376,-23.369661,25.3239,10.77076624,3.564139,9.03757,-13.32863376,-22.240661,13.0117,13.70626624,14.516339,3.51399
21,1.422896238,-0.123761,105.195,1.422896238,-0.123761,105.195,-19.58133376,-1.352661,150.465,23.85456624,-0.326761,148.988,-17.15753376,-1.420361,93.7768,19.63966624,0.585739,93.1216,-15.30863376,8.586539,54.5312,16.54306624,6.454839,53.2596,-11.10781376,-22.615961,25.2974,10.78546624,2.971239,9.04641,-13.30643376,-21.251661,13.0083,13.71336624,13.922539,3.52392
21.5,1.446156238,-0.137561,105.269,1.446156238,-0.137561,105.269,-19.56283376,-1.425661,150.513,23.86716624,-0.341061,149.089,-17.10893376,-1.432861,93.8719,19.65096624,0.511539,93.183,-15.28283376,9.106939,54.7641,16.58646624,6.065539,53.2737,-11.08561376,-21.835961,25.2151,10.79666624,2.374739,9.05439,-13.28943376,-20.223461,12.9543,13.72196624,13.323839,3.53738
22,1.466466238,-0.150861,105.34,1.466466238,-0.150861,105.34,-19.54673376,-1.494261,150.561,23.87896624,-0.355161,149.191,-17.07023376,-1.442361,93.9638,19.65996624,0.433039,93.2413,-15.25823376,9.615539,54.996,16.62966624,5.674339,53.2871,-11.06136376,-21.040361,25.102,10.80626624,1.776339,9.06201,-13.27863376,-19.175661,12.8751,13.72976624,12.722339,3.55109
22.5,1.485586238,-0.164161,105.411,1.485586238,-0.164161,105.411,-19.53123376,-1.560361,150.61,23.88986624,-0.369561,149.294,-17.03463376,-1.449961,94.0537,19.66756624,0.352439,93.2979,-15.23413376,10.116839,55.2262,16.67206624,5.282139,53.2999,-11.03597376,-20.236161,24.9725,10.81476624,1.176239,9.06947,-13.26873376,-18.117561,12.781,13.73696624,12.118839,3.56467
23,1.500036238,-0.176561,105.477,1.500036238,-0.176561,105.477,-19.51883376,-1.618361,150.659,23.89976624,-0.382461,149.4,-17.01453376,-1.451661,94.137,19.67166624,0.265039,93.3479,-15.21343376,10.593339,55.4491,16.71086624,4.884839,53.3105,-11.00661376,-19.404361,24.7937,10.81906624,0.571239,9.07584,-13.26253376,-17.028961,12.6448,13.74386624,11.509439,3.57739
23.5,1.510416238,-0.188461,105.539,1.510416238,-0.188461,105.539,-19.50953376,-1.671461,150.707,23.90796624,-0.392061,149.506,-17.00733376,-1.449961,94.2154,19.67506624,0.173039,93.3921,-15.19733376,11.053339,55.6664,16.74666624,4.481939,53.3186,-10.97589376,-18.554961,24.5871,10.82026624,-0.035161,9.08149,-13.26523376,-15.923861,12.4913,13.74976624,10.897739,3.58771
24,1.519816238,-0.200161,105.6,1.519816238,-0.200161,105.6,-19.50103376,-1.722561,150.755,23.91686624,-0.401161,149.611,-17.00373376,-1.446961,94.2919,19.67796624,0.079339,93.4344,-15.18263376,11.507339,55.8815,16.78106624,4.077639,53.326,-10.94585376,-17.698361,24.3695,10.82026624,-0.641961,9.08679,-13.26993376,-14.811761,12.3296,13.75536624,10.285039,3.59685
24.5,1.524316238,-0.211061,105.654,1.524316238,-0.211061,105.654,-19.49463376,-1.764361,150.802,23.92476624,-0.406761,149.715,-17.01903376,-1.441161,94.3585,19.68136624,-0.019261,93.4676,-15.17353376,11.931539,56.0844,16.80796624,3.664439,53.3289,-10.91494376,-16.812661,24.107,10.81696624,-1.252361,9.09146,-13.27903376,-13.670161,12.136,13.75896624,9.669639,3.60132
25,1.525756238,-0.221561,105.704,1.525756238,-0.221561,105.704,-19.49063376,-1.802761,150.845,23.93086624,-0.407461,149.816,-17.04223376,-1.433861,94.421,19.68446624,-0.120761,93.495,-15.16803376,12.338339,56.2805,16.83076624,3.245739,53.3291,-10.88423376,-15.911161,23.824,10.81156624,-1.862861,9.09611,-13.29693376,-12.513261,11.9343,13.76086624,9.053239,3.60193
25.5,1.525456238,-0.231561,105.75,1.525456238,-0.231561,105.75,-19.48793376,-1.838261,150.888,23.93716624,-0.405661,149.915,-17.07093376,-1.425261,94.4808,19.68766624,-0.224361,93.5186,-15.16543376,12.733139,56.4725,16.85026624,2.824039,53.3279,-10.85570376,-14.997961,23.5257,10.80436624,-2.472961,9.10039,-13.31823376,-11.344461,11.7243,13.76256624,8.436939,3.60011
