[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOP2,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
defeg(R),1.65,72.73,1.156,70.06,0.497,29.94,0.268,15.98,96.15,53.64,24.05,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.05,,0.024,2.47,0.05,2.47,0.022,1.2,2.32,1.96,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
CV,3.03,,2.064,3.52,10.093,8.24,8.148,7.49,2.41,3.65,2.74,,,,,,,,,,,,,,,,,,,,,,,,,
defeg(L),1.65,72.73,0.937,56.74,0.708,43.26,0.18,10.82,96.41,42.62,23.9,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.049,,0.056,2.5,0.042,2.5,0.017,1.07,3.63,1.91,0.49,,,,,,,,,,,,,,,,,,,,,,,,,
CV,2.996,,5.997,4.41,5.888,5.78,9.507,9.92,3.77,4.48,2.06,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
89,3.089455,-0.923786,96.010811,-3.859869,-0.204266,94.729446,-16.170788,-2.194016,137.628052,14.013906,-4.037693,139.001053,-14.74721,-1.647232,86.553856,16.031858,0.992252,82.53717,-17.484215,9.617126,51.083061,16.514717,18.130768,48.884182,-14.69012,12.099403,11.102139,11.865026,19.395554,10.438508,-18.927977,21.881012,6.138165,16.052217,31.166611,5.468929
89.5,3.02134,-0.975792,95.926758,-3.775475,-0.172272,94.671844,-16.348804,-2.280258,137.49881,14.185455,-3.913437,138.903473,-14.794322,-1.602909,86.427422,16.07247,1.046799,82.462654,-17.385248,9.795135,50.990723,16.455097,18.161194,48.798134,-14.516632,12.554531,11.032676,11.939154,20.225204,10.339706,-18.708286,22.392647,6.121502,16.126644,32.070564,5.567205
90,2.950312,-1.027702,95.840973,-3.688417,-0.138046,94.611839,-16.543396,-2.3671,137.364517,14.361593,-3.781425,138.803513,-14.840355,-1.557404,86.300163,16.118279,1.104424,82.385033,-17.285435,9.970295,50.898582,16.398424,18.192024,48.707855,-14.35239,12.986359,10.961458,12.009005,21.002777,10.248802,-18.492689,22.879578,6.098657,16.204632,32.912674,5.666111
90.5,2.878577,-1.076328,95.754204,-3.592268,-0.096893,94.548752,-16.72525,-2.440826,137.233398,14.548223,-3.632298,138.697601,-14.890654,-1.511127,86.170769,16.170971,1.175346,82.30687,-17.186556,10.132755,50.797821,16.33613,18.224998,48.606941,-14.213157,13.372459,10.881423,12.063864,21.681374,10.146192,-18.280561,23.321846,6.062016,16.25625,33.653015,5.739458
91,2.804757,-1.123634,95.666435,-3.494073,-0.053337,94.482628,-16.914568,-2.511711,137.100327,14.734514,-3.47657,138.589325,-14.940953,-1.462746,86.040092,16.225853,1.253479,82.223587,-17.089725,10.2911,50.69651,16.279619,18.256882,48.498428,-14.082732,13.733894,10.797386,12.116341,22.296982,10.049181,-18.071245,23.737144,6.016163,16.30999,34.324982,5.804356
91.5,2.729106,-1.167599,95.579407,-3.390307,-0.003075,94.412773,-17.08378,-2.56826,136.972168,14.92429,-3.306232,138.477173,-15.002951,-1.413273,85.906837,16.286669,1.350147,82.135826,-16.989967,10.431068,50.5835,16.215124,18.284241,48.372131,-13.96532,14.040112,10.700885,12.141587,22.797874,9.930798,-17.855658,24.095154,5.944136,16.327463,34.884071,5.829149
92,2.651925,-1.209564,95.492035,-3.284624,0.049137,94.338799,-17.250792,-2.618465,136.845276,15.112329,-3.129906,138.362198,-15.066271,-1.360191,85.771675,16.347738,1.458443,82.041534,-16.89332,10.563309,50.466427,16.157715,18.307114,48.233253,-13.855952,14.320793,10.599235,12.165862,23.228439,9.814994,-17.64035,24.424667,5.859854,16.338636,35.369278,5.834482
92.5,2.569864,-1.249077,95.405281,-3.176639,0.10704,94.260361,-17.406189,-2.655052,136.720978,15.299845,-2.942524,138.244354,-15.144274,-1.303181,85.633057,16.410936,1.587982,81.938698,-16.792904,10.669098,50.334858,16.097031,18.322777,48.074039,-13.746502,14.536011,10.482631,12.158779,23.540726,9.678485,-17.414045,24.682999,5.739306,16.309011,35.735909,5.789548
93,2.486446,-1.28656,95.318626,-3.066463,0.166225,94.177299,-17.553196,-2.683132,136.59993,15.488707,-2.75032,138.122604,-15.224702,-1.241016,85.492188,16.473833,1.730663,81.829735,-16.694342,10.763214,50.195126,16.040506,18.332535,47.900631,-13.643644,14.725208,10.361479,12.148606,23.786514,9.539817,-17.186279,24.911743,5.605879,16.262426,36.031441,5.718021
93.5,2.394991,-1.322929,95.230804,-2.954843,0.230072,94.090271,-17.707304,-2.698902,136.476868,15.679201,-2.550087,137.998489,-15.316325,-1.171471,85.347122,16.535576,1.893211,81.711754,-16.597019,10.825031,50.039803,15.992455,18.340538,47.713219,-13.532939,14.840668,10.226436,12.114131,23.923874,9.390528,-16.950983,25.057182,5.43281,16.17717,36.209892,5.593639
94,2.301947,-1.357632,95.143425,-2.840689,0.294857,93.999191,-17.852438,-2.705982,136.3573,15.875101,-2.346306,137.86969,-15.410709,-1.095966,85.200348,16.597467,2.067066,81.589447,-16.499632,10.873428,49.874813,15.944315,18.344589,47.514565,-13.426715,14.929947,10.089128,12.074703,24.005486,9.23736,-16.714828,25.17247,5.250348,16.071026,36.325142,5.443428
94.5,2.199442,-1.392059,95.052971,-2.72288,0.364182,93.90731,-18.021862,-2.700924,136.232147,16.080593,-2.136116,137.7397,-15.507648,-1.011044,85.04982,16.658266,2.254787,81.463936,-16.413256,10.889771,49.695751,15.917419,18.360809,47.318497,-13.31383,14.940346,9.944122,12.026026,23.999939,9.087618,-16.481977,25.195587,5.034344,15.936365,36.333549,5.248816
95,2.095007,-1.425434,94.963242,-2.602402,0.434612,93.813095,-18.187588,-2.689285,136.109009,16.293818,-1.923264,137.605484,-15.606386,-0.921719,84.899384,16.720366,2.44976,81.336876,-16.327866,10.895821,49.511086,15.887869,18.377373,47.117683,-13.20297,14.927147,9.799776,11.972585,23.952477,8.935505,-16.25156,25.191696,4.815704,15.785021,36.291107,5.035757
95.5,1.982034,-1.458092,94.87056,-2.474216,0.510906,93.72451,-18.38389,-2.664181,135.980255,16.525478,-1.70364,137.473267,-15.697609,-0.824142,84.748344,16.785559,2.649452,81.218307,-16.265444,10.878273,49.318676,15.886787,18.423309,46.942253,-13.094265,14.833519,9.658691,11.927547,23.842056,8.799907,-16.039114,25.091522,4.579722,15.624601,36.157684,4.798894
96,1.866954,-1.490204,94.778923,-2.343585,0.588753,93.635956,-18.582445,-2.63522,135.85202,16.764277,-1.481773,137.338715,-15.789405,-0.725101,84.599365,16.853167,2.851948,81.101082,-16.206888,10.855736,49.126595,15.88335,18.473686,46.769207,-12.986782,14.721237,9.52043,11.879902,23.703697,8.664956,-15.832541,24.970474,4.346742,15.456526,35.988831,4.553781
96.5,1.745636,-1.519806,94.687874,-2.201683,0.674835,93.561996,-18.805277,-2.591335,135.722046,17.025179,-1.250896,137.21225,-15.866784,-0.623272,84.456764,16.930809,3.049564,81.006668,-16.18347,10.825119,48.939934,15.906818,18.564842,46.642555,-12.893389,14.531662,9.398303,11.854856,23.520256,8.554803,-15.658057,24.756493,4.11935,15.304945,35.74688,4.313713
97,1.622405,-1.549065,94.598206,-2.057892,0.762722,93.490143,-19.033096,-2.545681,135.592072,17.290451,-1.017967,137.085968,-15.944065,-0.52253,84.317406,17.01125,3.246792,80.915611,-16.165823,10.793823,48.757668,15.930176,18.661903,46.522755,-12.801619,14.329636,9.279682,11.829861,23.320572,8.447674,-15.49067,24.52906,3.897402,15.1542,35.484665,4.073958
97.5,1.494709,-1.573257,94.516006,-1.901824,0.860962,93.442566,-19.270866,-2.485104,135.466919,17.572977,-0.772919,136.976471,-16.007299,-0.427479,84.194565,17.108458,3.431648,80.859688,-16.19281,10.770676,48.598511,15.971949,18.796509,46.460159,-12.734468,14.058563,9.187534,11.833789,23.082848,8.367254,-15.364778,24.220741,3.703288,15.0438,35.167068,3.868261
98,1.365707,-1.597103,94.43528,-1.744599,0.960701,93.397972,-19.512632,-2.423874,135.342072,17.856853,-0.526173,136.869019,-16.070396,-0.33456,84.07489,17.207903,3.614872,80.80751,-16.22504,10.7486,48.444332,16.015636,18.935303,46.404625,-12.669291,13.781059,9.098203,11.839227,22.837135,8.290261,-15.244476,23.90583,3.513911,14.938227,34.840805,3.666952
98.5,1.232076,-1.613449,94.370522,-1.577339,1.070881,93.385727,-19.749887,-2.350052,135.22934,18.146282,-0.265072,136.788193,-16.128511,-0.255562,83.982368,17.32736,3.781506,80.796844,-16.305155,10.743027,48.329239,16.067879,19.089638,46.401936,-12.634275,13.447395,9.039205,11.870766,22.551491,8.236508,-15.167974,23.529587,3.366516,14.885769,34.4757,3.519658
99,1.097912,-1.629475,94.306877,-1.409603,1.181805,93.375832,-19.98842,-2.27599,135.117249,18.435453,-0.002945,136.70961,-16.186672,-0.17812,83.891846,17.447931,3.946857,80.788765,-16.388025,10.738132,48.21703,16.122095,19.245064,46.40324,-12.600801,13.111614,8.981736,11.903435,22.262779,8.184752,-15.094127,23.15139,3.221609,14.837179,34.108292,3.376248
99.5,0.95722,-1.636475,94.266624,-1.236384,1.299866,93.40287,-20.214745,-2.19371,135.023361,18.717596,0.272991,136.666412,-16.255064,-0.118996,83.836014,17.586128,4.094101,80.821053,-16.513023,10.744263,48.15107,16.179087,19.378555,46.438938,-12.596282,12.735619,8.95054,11.952193,21.929939,8.150055,-15.059473,22.735222,3.120965,14.837458,33.71653,3.291482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link,0.007106,0.116112,95.563858,0,0,95.565193,-21.257967,1.064743,136.435806,20.686077,-0.867725,139.186081,-17.489912,-1.949741,85.525528,18.966833,1.643532,82.820602,-17.787905,-0.707279,49.0952,17.112259,6.728184,46.494598,-13.526866,-9.485672,11.294677,11.691551,-3.67564,11.032709,-17.073244,-1.171288,4.527811,15.139008,5.80822,4.016986
Static,0,0,96.68998,0,0,96.68998,-22.449482,-1.552586,140.038376,20.495604,0.062378,141.002869,-16.820757,1.283485,84.886375,18.445337,1.668152,84.759514,-13.926839,-0.947395,48.17535,15.065534,0.681259,46.738617,-9.54845,-4.318981,8.741798,11.282807,-4.593346,8.269884,-12.39177,5.430553,2.511266,12.71112,7.103504,2.274916
