[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
16,1.459392,0.908829,91.6389,1.459392,0.908829,91.6389,-19.692048,12.534329,132.511,18.152252,13.567129,128.521,-14.391348,-8.772671,81.7832,19.612852,-4.619671,83.6942,-12.524448,-14.555371,43.7212,18.814252,6.184229,46.5584,-8.977648,-43.427171,13.7391,18.363152,-1.206771,9.75234,-7.493748,-42.710071,8.71922,21.329552,7.802029,3.75484
16.5,1.479842,0.923229,91.6827,1.479842,0.923229,91.6827,-19.690948,12.619229,132.543,18.178952,13.642329,128.582,-14.338548,-8.733671,81.7782,19.625552,-4.742971,83.7926,-12.579848,-13.968971,43.6992,18.864252,5.762129,46.5554,-8.856148,-43.274071,13.9416,18.355752,-1.767871,9.75375,-7.506148,-42.564071,9.06402,21.343652,7.239029,3.74409
17,1.498882,0.936629,91.7272,1.498882,0.936629,91.7272,-19.691548,12.700429,132.574,18.204352,13.713229,128.644,-14.285548,-8.694971,81.7734,19.636752,-4.869971,83.8898,-12.632148,-13.380471,43.6865,18.910752,5.334029,46.554,-8.752448,-43.084071,14.144,18.348552,-2.331171,9.75735,-7.515848,-42.369771,9.39545,21.358452,6.674829,3.73813
17.5,1.515382,0.948329,91.7721,1.515382,0.948329,91.7721,-19.695048,12.775529,132.602,18.224552,13.777329,128.708,-14.231848,-8.655371,81.769,19.647752,-5.006971,83.9828,-12.678148,-12.789571,43.6909,18.951452,4.894429,46.5553,-8.684448,-42.819471,14.3391,18.345952,-2.896571,9.76614,-7.519148,-42.080571,9.69197,21.375552,6.109229,3.74189
18,1.530982,0.959729,91.8174,1.530982,0.959729,91.8174,-19.698748,12.848829,132.629,18.243052,13.839029,128.773,-14.179548,-8.614271,81.7647,19.659652,-5.146971,84.0746,-12.720248,-12.198471,43.7003,18.990152,4.450529,46.5578,-8.635948,-42.526871,14.5326,18.345552,-3.461271,9.77592,-7.518748,-41.759671,9.97256,21.392252,5.544829,3.74873
18.5,1.544932,0.970529,91.8626,1.544932,0.970529,91.8626,-19.703448,12.917729,132.656,18.259252,13.895529,128.84,-14.127848,-8.573671,81.7602,19.670752,-5.288771,84.1636,-12.756748,-11.607371,43.7197,19.024552,3.998029,46.561,-8.613548,-42.181071,14.7195,18.345452,-4.026971,9.78711,-7.513548,-41.374471,10.2214,21.408152,4.980729,3.75959
19,1.556572,0.980429,91.9074,1.556572,0.980429,91.9074,-19.708348,12.982029,132.683,18.268752,13.946429,128.91,-14.078448,-8.532271,81.7564,19.683952,-5.436071,84.2467,-12.784748,-11.017571,43.7504,19.052452,3.534229,46.5635,-8.627348,-41.764271,14.889,18.351852,-4.593671,9.80028,-7.504448,-40.906871,10.4213,21.422352,4.417029,3.77467
19.5,1.567442,0.990429,91.952,1.567442,0.990429,91.952,-19.713148,13.045329,132.709,18.275852,13.996029,128.982,-14.029948,-8.490571,81.7525,19.697652,-5.583671,84.3287,-12.809248,-10.428271,43.7836,19.079052,3.066729,46.5662,-8.652848,-41.328771,15.0523,18.358152,-5.160371,9.81313,-7.492648,-40.418271,10.6061,21.435752,3.854629,3.79065
20,1.576612,1.000029,91.9958,1.576612,1.000029,91.9958,-19.717048,13.103929,132.734,18.280352,14.040229,129.056,-13.983548,-8.448771,81.7484,19.710052,-5.733271,84.406,-12.823948,-9.842471,43.8253,19.099652,2.589229,46.5684,-8.713548,-40.824471,15.2011,18.367452,-5.725571,9.82508,-7.478748,-39.856271,10.7415,21.445352,3.294129,3.80529
20.5,1.583332,1.009229,92.0387,1.583332,1.009229,92.0387,-19.719948,13.159429,132.76,18.279252,14.080829,129.133,-13.941648,-8.407571,81.7449,19.722052,-5.884371,84.4786,-12.830648,-9.259071,43.8727,19.114752,2.103629,46.5693,-8.799848,-40.269271,15.3312,18.380152,-6.291871,9.83595,-7.466148,-39.239471,10.837,21.451452,2.734629,3.81801
21,1.589202,1.018329,92.081,1.589202,1.018329,92.081,-19.723048,13.214129,132.785,18.275452,14.120829,129.21,-13.899848,-8.366371,81.7412,19.733152,-6.035971,84.5499,-12.834348,-8.676971,43.9218,19.129152,1.614629,46.5702,-8.893148,-39.697671,15.4508,18.391952,-6.858271,9.84668,-7.452548,-38.605171,10.9171,21.457052,2.175729,3.82997
21.5,1.593042,1.027229,92.1215,1.593042,1.027229,92.1215,-19.723148,13.263429,132.81,18.270852,14.155529,129.288,-13.862448,-8.324571,81.7376,19.739452,-6.189971,84.6156,-12.823848,-8.102671,43.9784,19.135852,1.117629,46.5704,-9.029448,-39.047671,15.5487,18.407752,-7.420671,9.8536,-7.444548,-37.894871,10.9381,21.456752,1.620029,3.83417
22,1.594462,1.035829,92.161,1.594462,1.035829,92.161,-19.723348,13.311029,132.835,18.263352,14.188429,129.367,-13.829648,-8.284471,81.7346,19.742152,-6.344471,84.6786,-12.808848,-7.530071,44.0381,19.139352,0.616729,46.5702,-9.179448,-38.368771,15.6319,18.423552,-7.984571,9.85912,-7.439648,-37.153971,10.9355,21.454152,1.064329,3.83484
22.5,1.594932,1.044029,92.1996,1.594932,1.044029,92.1996,-19.723148,13.356429,132.858,18.253752,14.220329,129.447,-13.796948,-8.243771,81.7316,19.742052,-6.500371,84.7393,-12.790148,-6.961171,44.1003,19.141352,0.113329,46.57,-9.335248,-37.668671,15.6984,18.439352,-8.547771,9.86549,-7.439148,-36.391571,10.9144,21.451552,0.508629,3.83311
23,1.593222,1.052329,92.2358,1.593222,1.052329,92.2358,-19.720448,13.397229,132.88,18.246052,14.248429,129.524,-13.769148,-8.202871,81.729,19.733852,-6.657771,84.7951,-12.759048,-6.402371,44.1697,19.137652,-0.391971,46.5704,-9.531248,-36.901371,15.7445,18.456652,-9.106671,9.86778,-7.448548,-35.567971,10.8447,21.445152,-0.043971,3.82348
23.5,1.589472,1.059929,92.2711,1.589472,1.059929,92.2711,-19.718548,13.436129,132.901,18.238252,14.275029,129.601,-13.745548,-8.163671,81.7271,19.720852,-6.816171,84.8492,-12.726148,-5.845471,44.2419,19.132052,-0.898471,46.5709,-9.732948,-36.115571,15.7763,18.472252,-9.666371,9.87053,-7.462348,-34.722571,10.7595,21.438452,-0.597571,3.81106
24,1.584792,1.067329,92.3048,1.584792,1.067329,92.3048,-19.715548,13.471829,132.92,18.230352,14.299929,129.677,-13.722548,-8.123071,81.7255,19.703152,-6.975271,84.9,-12.689848,-5.296271,44.319,19.124552,-1.404471,46.5719,-9.944148,-35.303071,15.7893,18.488652,-10.224871,9.87456,-7.485548,-33.849871,10.6545,21.432952,-1.151671,3.79711
24.5,1.578222,1.074529,92.3363,1.578222,1.074529,92.3363,-19.712448,13.503629,132.936,18.225552,14.322429,129.749,-13.703648,-8.083171,81.7249,19.678452,-7.134971,84.9468,-12.647448,-4.756571,44.4032,19.115452,-1.908071,46.5738,-10.182048,-34.446871,15.7843,18.503252,-10.780671,9.87803,-7.518648,-32.934071,10.5192,21.427952,-1.704571,3.78042
25,1.570462,1.081029,92.3667,1.570462,1.081029,92.3667,-19.709748,13.532629,132.951,18.222852,14.342929,129.819,-13.688748,-8.044371,81.7252,19.650152,-7.295271,84.9919,-12.604548,-4.220671,44.491,19.104852,-2.410671,46.5763,-10.422848,-33.573571,15.7659,18.516752,-11.335471,9.88393,-7.556948,-31.997771,10.3712,21.424152,-2.258571,3.76285
25.5,1.561742,1.087329,92.3951,1.561742,1.087329,92.3951,-19.706548,13.558129,132.964,18.221652,14.361129,129.885,-13.674648,-8.004171,81.7261,19.617152,-7.453871,85.0324,-12.561148,-3.697271,44.5862,19.093952,-2.909871,46.5792,-10.676048,-32.673271,15.7287,18.529752,-11.890271,9.89184,-7.605848,-31.029071,10.205,21.423552,-2.813271,3.74716
26,1.551902,1.093129,92.4214,1.551902,1.093129,92.4214,-19.704148,13.579829,132.973,18.222752,14.377229,129.948,-13.664048,-7.965471,81.7283,19.581652,-7.612271,85.0694,-12.516248,-3.182871,44.6879,19.083952,-3.405171,46.5827,-10.942048,-31.744071,15.6746,18.539252,-12.443071,9.90239,-7.662748,-30.027271,10.0208,21.426452,-3.368371,3.73375
26.5,1.541572,1.098229,92.4463,1.541572,1.098229,92.4463,-19.701548,13.598329,132.98,18.227352,14.390829,130.006,-13.657448,-7.927071,81.7315,19.544552,-7.769271,85.104,-12.472148,-2.676271,44.7939,19.073152,-3.898171,46.5865,-11.213348,-30.799171,15.6104,18.548952,-12.994271,9.91562,-7.724948,-29.004271,9.82567,21.431052,-3.923971,3.72167
27,1.530212,1.102829,92.4688,1.530212,1.102829,92.4688,-19.699748,13.613129,132.984,18.231952,14.401829,130.061,-13.652948,-7.889171,81.7357,19.506752,-7.922671,85.1334,-12.431148,-2.184571,44.9071,19.064552,-4.386871,46.5905,-11.491648,-29.829971,15.5277,18.556252,-13.546471,9.93239,-7.795248,-27.948171,9.61665,21.440052,-4.480571,3.71426
