[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoki,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
a,1.027,116.89,0.668,65.06,0.359,34.94,0.152,14.79,113.94,56.42,21.15,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.017,,0.009,0.75,0.012,0.75,0.004,0.42,1.63,1.35,0.84,,,,,,,,,,,,,,,,,,,,,,,,,
CV,1.652,,1.345,1.15,3.336,2.14,2.707,2.86,1.43,2.39,3.95,,,,,,,,,,,,,,,,,,,,,,,,,
a,1.027,116.85,0.656,63.84,0.371,36.16,0.145,14.11,113.97,57.55,21.1,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.01,,0.013,0.76,0.006,0.76,0.005,0.45,1.43,1.08,0.94,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0.98,,1.936,1.19,1.741,2.09,3.437,3.21,1.26,1.88,4.47,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
86.5,1.27985,-0.469395,105.459709,-1.381262,0.324505,105.170448,-19.592148,-2.361366,150.483871,20.019064,-0.508579,150.143158,-17.747871,-1.923477,94.622749,17.168625,0.641026,92.783371,-14.130804,15.994507,58.057678,13.448267,17.04557,56.260315,-10.942141,9.417397,13.708445,10.276885,8.684521,13.076984,-14.911386,19.165119,6.869898,13.86533,18.386814,5.380107
87,1.269554,-0.475719,105.403473,-1.368945,0.317825,105.135872,-19.616182,-2.372795,150.440887,20.042902,-0.49926,150.12471,-17.739201,-1.922176,94.564896,17.175999,0.607288,92.748108,-14.070672,15.890423,57.94273,13.415754,16.97683,56.205521,-10.987252,10.653427,13.35894,10.325408,9.935585,12.7328,-14.971972,20.603031,6.801252,13.909463,19.84428,5.307367
87.5,1.257649,-0.481407,105.342522,-1.355661,0.311401,105.097649,-19.643763,-2.379761,150.393539,20.067322,-0.487549,150.102158,-17.731785,-1.917023,94.498192,17.183685,0.573505,92.705032,-14.0229,15.76667,57.807671,13.392738,16.89624,56.138874,-11.031555,11.869991,13.052287,10.374941,11.175529,12.418971,-15.016224,22.004833,6.776107,13.948339,21.28043,5.268065
88,1.245206,-0.486835,105.280304,-1.341073,0.305077,105.056679,-19.672068,-2.385303,150.345108,20.093359,-0.474308,150.07431,-17.72452,-1.910423,94.429268,17.191599,0.539982,92.65612,-13.979939,15.637821,57.666977,13.378803,16.807621,56.063396,-11.075095,13.078918,12.759908,10.422718,12.394501,12.133731,-15.055089,23.39397,6.765667,13.98163,22.687519,5.259212
88.5,1.231239,-0.491539,105.215126,-1.324858,0.298943,105.011314,-19.704165,-2.387318,150.293228,20.121073,-0.458763,150.040298,-17.718634,-1.900497,94.355118,17.200708,0.50642,92.598068,-13.946003,15.496929,57.513821,13.375357,16.70575,55.97422,-11.117357,14.272224,12.498386,10.469925,13.593029,11.88378,-15.082357,24.756672,6.786461,14.008149,24.062618,5.289128
89,1.214717,-0.495705,105.146454,-1.307469,0.292896,104.963234,-19.741066,-2.384468,150.235245,20.149399,-0.440926,150.001572,-17.715708,-1.887444,94.274796,17.209381,0.472454,92.534286,-13.926903,15.348042,57.349388,13.382501,16.598423,55.877808,-11.156239,15.418816,12.281115,10.516746,14.767372,11.662811,-15.090293,26.057507,6.848908,14.028583,25.404949,5.349548
89.5,1.1972,-0.499615,105.076706,-1.289032,0.286865,104.913673,-19.779003,-2.37994,150.175064,20.17885,-0.421394,149.957245,-17.714394,-1.873222,94.192947,17.217194,0.438416,92.467651,-13.913988,15.198467,57.182583,13.398567,16.491135,55.778889,-11.192938,16.542385,12.079908,10.55827,15.898376,11.469419,-15.091496,27.330395,6.926705,14.040672,26.696499,5.435126
90,1.177939,-0.502922,105.005684,-1.269242,0.28096,104.861618,-19.819899,-2.372597,150.111984,20.209932,-0.400425,149.906677,-17.716143,-1.856979,94.108871,17.225473,0.404842,92.396332,-13.910386,15.047009,57.012012,13.423648,16.381348,55.674843,-11.225865,17.635967,11.90287,10.596224,16.989136,11.30518,-15.080892,28.566143,7.027262,14.045389,27.939579,5.55044
90.5,1.155738,-0.505825,104.932869,-1.247797,0.274818,104.807411,-19.865526,-2.361126,150.042709,20.242636,-0.377586,149.85025,-17.722212,-1.838169,94.021896,17.2334,0.371044,92.3209,-13.919074,14.902565,56.841125,13.459278,16.270721,55.566685,-11.25175,18.65485,11.760063,10.63165,18.039944,11.168419,-15.05125,29.715199,7.153279,14.042987,29.134762,5.692523
91,1.131877,-0.508598,104.859131,-1.225491,0.268284,104.752899,-19.913376,-2.347687,149.969681,20.276114,-0.353542,149.789291,-17.731035,-1.818481,93.934044,17.240231,0.337589,92.245438,-13.933369,14.76384,56.672112,13.500702,16.166584,55.460804,-11.272976,19.627064,11.632286,10.659822,19.028233,11.050386,-15.014085,30.811565,7.289515,14.031945,30.260067,5.844511
91.5,1.106694,-0.511024,104.785141,-1.202426,0.261555,104.697487,-19.962946,-2.332695,149.89473,20.310961,-0.329056,149.723495,-17.743065,-1.797543,93.845703,17.246681,0.305408,92.169113,-13.953855,14.629478,56.504452,13.54706,16.068092,55.355953,-11.289033,20.563488,11.518318,10.68181,19.958637,10.950967,-14.967093,31.86784,7.43566,14.012932,31.320011,6.008249
92,1.078648,-0.513287,104.710419,-1.177638,0.254166,104.640755,-20.016533,-2.314846,149.81456,20.348179,-0.303558,149.651489,-17.759724,-1.773876,93.756317,17.253099,0.273834,92.090996,-13.981619,14.512829,56.343662,13.601491,15.974129,55.251049,-11.294177,21.401463,11.424893,10.698595,20.828167,10.873676,-14.903318,32.814983,7.585618,13.986076,32.311359,6.188379
92.5,1.048481,-0.515553,104.634789,-1.15177,0.245869,104.583893,-20.073421,-2.294872,149.729645,20.386898,-0.277607,149.575653,-17.779795,-1.74818,93.666374,17.259487,0.244026,92.013702,-14.011821,14.410778,56.189404,13.658088,15.888996,55.149143,-11.290682,22.159382,11.340546,10.707887,21.624447,10.805373,-14.831591,33.673481,7.730057,13.952592,33.221447,6.362815
93,1.017602,-0.517746,104.559082,-1.125515,0.236832,104.526985,-20.131403,-2.274307,149.643448,20.426447,-0.252216,149.497604,-17.801998,-1.721542,93.576317,17.265793,0.216953,91.937454,-14.04346,14.314621,56.037807,13.714404,15.812862,55.050495,-11.282674,22.884571,11.260345,10.709765,22.34927,10.74268,-14.754457,34.496265,7.872391,13.91207,34.050785,6.525633
93.5,0.984634,-0.520084,104.48288,-1.098,0.226845,104.469452,-20.191956,-2.252548,149.55397,20.468529,-0.226475,149.414551,-17.827747,-1.691376,93.485634,17.272429,0.192097,91.861465,-14.07689,14.237679,55.894161,13.774375,15.744991,54.954391,-11.262304,23.508511,11.187078,10.70434,22.998066,10.693169,-14.664973,35.207691,7.999,13.863868,34.795322,6.688222
94,0.949501,-0.522541,104.405151,-1.069067,0.215473,104.411354,-20.256477,-2.22868,149.459518,20.513412,-0.201321,149.327774,-17.856491,-1.656078,93.393707,17.280764,0.17099,91.785995,-14.107295,14.183125,55.759766,13.832832,15.685822,54.860165,-11.22918,24.014965,11.112604,10.692019,23.565701,10.64463,-14.56921,35.788433,8.094198,13.811694,35.449375,6.830836
94.5,0.913902,-0.525085,104.327065,-1.039583,0.202957,104.353104,-20.322189,-2.204548,149.363907,20.559046,-0.177204,149.240814,-17.88649,-1.619389,93.301361,17.290617,0.154942,91.711372,-14.136231,14.134163,55.627644,13.887636,15.634167,54.767689,-11.192174,24.488064,11.037428,10.672458,24.05167,10.592581,-14.471195,36.33218,8.179235,13.755017,36.009533,6.944069
95,0.877235,-0.527897,104.248131,-1.009128,0.189182,104.294373,-20.389555,-2.18021,149.266449,20.606989,-0.153625,149.15123,-17.917952,-1.577961,93.20813,17.301577,0.143089,91.637527,-14.162015,14.100185,55.500896,13.940985,15.590275,54.677074,-11.145108,24.873165,10.959254,10.646488,24.46104,10.541631,-14.367364,36.777897,8.235397,13.694007,36.48267,7.036538
95.5,0.839077,-0.530811,104.166924,-0.977277,0.174023,104.234589,-20.460051,-2.154289,149.16539,20.658274,-0.1311,149.05835,-17.950716,-1.528461,93.112938,17.315603,0.136673,91.563705,-14.181026,14.085575,55.38084,13.990292,15.553417,54.587059,-11.086002,25.134144,10.871868,10.614573,24.787495,10.487908,-14.262583,37.083393,8.241437,13.630219,36.86208,7.10018
96,0.800456,-0.533817,104.084808,-0.944306,0.157616,104.17411,-20.53236,-2.127872,149.062851,20.711391,-0.110065,148.965912,-17.983934,-1.475899,93.01696,17.333334,0.137928,91.489799,-14.196643,14.077129,55.262753,14.034088,15.51965,54.496037,-11.022926,25.351582,10.780407,10.577753,25.031429,10.425243,-14.157821,37.339245,8.227477,13.566772,37.145489,7.124911
96.5,0.761397,-0.537029,104.00145,-0.910163,0.140049,104.1129,-20.605867,-2.101524,148.959045,20.766335,-0.090115,148.872574,-18.01684,-1.41795,92.919876,17.353016,0.14529,91.416,-14.207381,14.077896,55.146893,14.074303,15.48914,54.404144,-10.954244,25.500126,10.683062,10.537294,25.204571,10.357352,-14.053076,37.516552,8.182128,13.503057,37.346294,7.117519
97,0.72123,-0.539948,103.915916,-0.874742,0.121243,104.050484,-20.68199,-2.073879,148.853119,20.824457,-0.071453,148.777267,-18.049534,-1.350067,92.82193,17.376617,0.159523,91.342201,-14.211669,14.089954,55.03447,14.108794,15.463524,54.311928,-10.878551,25.534725,10.575236,10.492562,25.296513,10.283639,-13.953831,37.562428,8.081265,13.438576,37.45332,7.073592
97.5,0.680763,-0.542721,103.828987,-0.837763,0.101799,103.987175,-20.75976,-2.045368,148.745682,20.8855,-0.054501,148.681915,-18.081604,-1.277096,92.723312,17.404449,0.18272,91.26815,-14.212259,14.10664,54.922924,14.138366,15.436283,54.217293,-10.800357,25.519245,10.461992,10.447037,25.319782,10.201954,-13.857733,37.549778,7.952665,13.378606,37.479893,6.99412
98,0.640019,-0.545567,103.741074,-0.799231,0.081821,103.923409,-20.838509,-2.016884,148.637299,20.948254,-0.038662,148.586487,-18.11244,-1.200081,92.624275,17.434881,0.212345,91.194366,-14.209667,14.127216,54.812088,14.165651,15.407097,54.120705,-10.721725,25.463184,10.344843,10.401341,25.288425,10.115309,-13.765327,37.48978,7.801897,13.32229,37.441998,6.886864
98.5,0.598005,-0.547241,103.652512,-0.759177,0.060966,103.858833,-20.919832,-1.987061,148.528168,21.013678,-0.02446,148.490463,-18.142445,-1.112701,92.527779,17.469101,0.249878,91.121155,-14.204751,14.151417,54.7038,14.187338,15.379639,54.023178,-10.643771,25.31023,10.222137,10.354293,25.17931,10.022338,-13.684801,37.315746,7.603098,13.268304,37.313015,6.740499
99,0.555534,-0.548141,103.56308,-0.71746,0.040474,103.794128,-21.002346,-1.955891,148.417831,21.082272,-0.012009,148.394455,-18.171114,-1.019249,92.432899,17.506638,0.296261,91.049461,-14.198926,14.176907,54.596523,14.206212,15.348709,53.924759,-10.568041,25.105633,10.096854,10.310109,25.01495,9.925568,-13.612231,37.080296,7.375659,13.220586,37.118946,6.566658
99.5,0.512641,-0.548832,103.473511,-0.673819,0.020378,103.730148,-21.085714,-1.924644,148.307114,21.153271,-0.000725,148.29866,-18.198658,-0.92321,92.339066,17.54649,0.348747,90.979965,-14.192877,14.203381,54.490234,14.225094,15.31234,53.825718,-10.494759,24.879627,9.970706,10.268957,24.811207,9.827682,-13.544298,36.819515,7.136529,13.179464,36.879429,6.376927
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link,-0.026955,-0.044327,104.377731,0,0,104.36631,-21.573526,-0.570572,149.186279,21.859123,0.187168,148.954544,-18.727091,-1.495434,93.565941,18.325966,-0.097633,91.86174,-15.170431,4.559868,54.631508,15.213496,5.02504,53.231045,-10.678247,-6.0481,13.401536,10.489625,-6.385975,13.087058,-13.841626,2.515572,6.354269,13.511087,2.232285,5.620828
Static,0,0,105.095032,0,0,105.095032,-22.527645,0.370342,150.093018,21.597506,1.723606,149.374252,-18.094479,-0.184174,94.96814,18.018679,0.369339,94.359924,-15.215541,-2.842709,54.666878,16.747223,-2.105072,54.354336,-9.95781,-4.366814,9.188423,12.266992,-3.828716,9.370974,-12.471636,7.094467,3.796432,15.105959,7.340084,3.368508
