[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoki,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
a,1.027,116.89,0.668,65.06,0.359,34.94,0.152,14.79,113.94,56.42,21.15,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.017,,0.009,0.75,0.012,0.75,0.004,0.42,1.63,1.35,0.84,,,,,,,,,,,,,,,,,,,,,,,,,
CV,1.652,,1.345,1.15,3.336,2.14,2.707,2.86,1.43,2.39,3.95,,,,,,,,,,,,,,,,,,,,,,,,,
a,1.027,116.85,0.656,63.84,0.371,36.16,0.145,14.11,113.97,57.55,21.1,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.01,,0.013,0.76,0.006,0.76,0.005,0.45,1.43,1.08,0.94,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0.98,,1.936,1.19,1.741,2.09,3.437,3.21,1.26,1.88,4.47,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
15.5,-1.06908,0.445095,103.66037,1.022568,0.105045,104.278946,-23.44253,-0.420776,147.501541,23.586361,0.096317,147.914597,-19.365671,1.086452,93.524216,18.929426,1.196598,92.312714,-15.685229,11.035427,54.040592,15.901929,10.862286,53.231598,-10.609843,9.077656,9.115772,10.47983,9.157505,9.012126,-13.788745,19.889942,4.004744,13.455519,20.103802,3.555052
16,-1.098316,0.457222,103.724831,1.060806,0.09462,104.345848,-23.478613,-0.386429,147.550949,23.628641,0.10112,147.980911,-19.385468,1.048271,93.596107,18.997295,1.14719,92.375687,-15.685269,10.65704,54.023308,15.934936,10.500393,53.222061,-10.608678,8.485821,9.117853,10.483489,8.568985,9.011138,-13.784303,19.295231,3.98906,13.461312,19.510464,3.541839
16.5,-1.125154,0.465012,103.79007,1.09737,0.081421,104.413254,-23.510223,-0.356926,147.600815,23.666651,0.104015,148.049103,-19.402309,0.998154,93.667633,19.063009,1.095226,92.436569,-15.687222,10.269379,54.008678,15.966662,10.125549,53.212917,-10.609794,7.895203,9.121046,10.488915,7.979908,9.011331,-13.78041,18.701519,3.972394,13.466874,18.918163,3.527608
17,-1.151033,0.470165,103.855942,1.133121,0.066879,104.481102,-23.538446,-0.331081,147.651108,23.702557,0.104908,148.118698,-19.419525,0.941376,93.738907,19.125391,1.041721,92.497307,-15.690013,9.876301,53.995598,15.998395,9.746319,53.205238,-10.613083,7.305611,9.125533,10.495442,7.390736,9.012718,-13.777694,18.108936,3.955767,13.472493,18.327,3.514714
17.5,-1.176665,0.472755,103.922562,1.167485,0.050793,104.549316,-23.564466,-0.310135,147.703293,23.735897,0.10342,148.189819,-19.437944,0.877766,93.809937,19.184061,0.986904,92.558151,-15.696588,9.479927,53.986061,16.030973,9.362022,53.199543,-10.617872,6.717308,9.130936,10.503872,6.801472,9.0155,-13.777274,17.517254,3.941809,13.478797,17.736847,3.503792
18,-1.200701,0.471733,103.99054,1.20022,0.032932,104.618477,-23.586399,-0.295238,147.757919,23.765471,0.099464,148.263657,-19.454542,0.802109,93.881203,19.237356,0.929695,92.618912,-15.708672,9.080502,53.982449,16.064362,8.971245,53.196262,-10.624719,6.129719,9.13733,10.514191,6.212315,9.019904,-13.778598,16.925308,3.930891,13.485549,17.147083,3.495051
18.5,-1.224271,0.468334,104.059685,1.231356,0.014214,104.688393,-23.605345,-0.285328,147.814743,23.792837,0.093433,148.340271,-19.47431,0.718742,93.952637,19.285395,0.869884,92.680138,-15.724672,8.679379,53.983353,16.098566,8.578369,53.195728,-10.634322,5.542934,9.145097,10.525292,5.623428,9.025696,-13.782655,16.333271,3.923197,13.492411,16.55798,3.489298
19,-1.247797,0.463974,104.129219,1.261452,-0.004799,104.758583,-23.623222,-0.27816,147.873611,23.818705,0.085659,148.419052,-19.495487,0.632034,94.023483,19.32877,0.80899,92.742271,-15.743313,8.277431,53.986603,16.134001,8.185032,53.197491,-10.64436,4.956295,9.153362,10.53692,5.034496,9.0327,-13.787713,15.741013,3.91813,13.498741,15.968906,3.486164
19.5,-1.270285,0.45726,104.199799,1.289754,-0.024574,104.829636,-23.637707,-0.277275,147.937759,23.841431,0.075497,148.501785,-19.517076,0.536163,94.093018,19.365261,0.745041,92.805122,-15.767586,7.873421,53.995655,16.170916,7.788708,53.202263,-10.654053,4.369022,9.16177,10.54942,4.445148,9.041047,-13.794209,15.146935,3.918317,13.505502,15.379013,3.486996
20,-1.292283,0.449371,104.271149,1.316119,-0.044319,104.900978,-23.650429,-0.280396,148.005951,23.862349,0.064358,148.587875,-19.541643,0.434727,94.161781,19.396423,0.677853,92.867889,-15.795815,7.469032,54.009007,16.208679,7.391933,53.209347,-10.664793,3.780975,9.170552,10.561639,3.855679,9.050215,-13.803267,14.550785,3.922673,13.512458,14.78791,3.490948
